PAD,ASIC,Channel,Channeltype
1,0,33,0
2,0,34,0
3,0,21,0
4,0,22,0
5,0,14,0
6,0,15,0
7,0,5,0
8,0,6,0
9,0,35,0
10,0,32,0
11,0,19,0
12,0,20,0
13,0,16,0
14,0,0,1
15,0,13,0
16,0,4,0
17,0,7,0
19,0,28,0
20,0,30,0
21,0,23,0
22,0,25,0
23,0,12,0
24,0,10,0
25,0,3,0
26,0,1,0
29,0,29,0
30,0,31,0
31,0,24,0
32,0,26,0
33,0,11,0
34,0,9,0
35,0,2,0
36,0,0,0
40,0,64,0
41,0,65,0
42,0,59,0
43,0,60,0
44,0,38,0
45,0,36,0
46,0,40,0
47,0,41,0
52,0,67,0
53,0,66,0
54,0,62,0
55,0,61,0
56,0,39,0
57,0,37,0
58,0,42,0
59,0,43,0
66,0,71,0
67,0,69,0
68,0,57,0
69,0,55,0
70,0,1,1
71,0,52,0
72,0,51,0
73,0,47,0
74,0,45,0
81,0,70,0
82,0,68,0
83,0,56,0
84,0,58,0
85,0,50,0
86,0,49,0
87,0,48,0
88,0,46,0
18,1,61,0
27,1,62,0
37,1,55,0
48,1,58,0
60,1,50,0
75,1,49,0
89,1,48,0
104,1,45,0
28,1,59,0
38,1,60,0
49,1,57,0
61,1,56,0
62,1,1,1
76,1,52,0
90,1,51,0
105,1,46,0
120,1,47,0
39,1,67,0
50,1,66,0
63,1,68,0
77,1,70,0
91,1,41,0
106,1,42,0
121,1,37,0
135,1,38,0
51,1,64,0
64,1,65,0
78,1,71,0
92,1,69,0
107,1,43,0
122,1,40,0
136,1,39,0
150,1,36,0
65,1,29,0
79,1,28,0
93,1,24,0
108,1,26,0
123,1,10,0
137,1,11,0
151,1,1,0
165,1,3,0
80,1,30,0
94,1,31,0
109,1,23,0
124,1,25,0
138,1,12,0
152,1,9,0
166,1,2,0
177,1,0,0
95,1,33,0
110,1,35,0
125,1,19,0
139,1,20,0
153,1,0,1
154,1,15,0
167,1,14,0
178,1,4,0
188,1,7,0
111,1,32,0
126,1,34,0
140,1,21,0
155,1,22,0
168,1,16,0
179,1,13,0
189,1,5,0
198,1,6,0
96,2,11,0
97,2,10,0
98,2,5,0
99,2,7,0
100,2,1,0
101,2,0,0
102,2,40,0
103,2,43,0
112,2,12,0
113,2,9,0
114,2,6,0
115,2,4,0
116,2,3,0
117,2,2,0
118,2,42,0
119,2,41,0
127,2,20,0
128,2,22,0
129,2,15,0
130,2,13,0
131,2,36,0
132,2,38,0
133,2,45,0
134,2,47,0
141,2,21,0
142,2,19,0
143,2,0,1
144,2,16,0
145,2,14,0
146,2,39,0
147,2,37,0
148,2,48,0
149,2,46,0
156,2,26,0
157,2,25,0
158,2,34,0
159,2,32,0
160,2,60,0
161,2,61,0
162,2,51,0
163,2,1,1
164,2,49,0
169,2,23,0
170,2,24,0
171,2,35,0
172,2,33,0
173,2,59,0
174,2,62,0
175,2,50,0
176,2,52,0
180,2,30,0
181,2,28,0
182,2,64,0
183,2,67,0
184,2,69,0
185,2,70,0
186,2,55,0
187,2,56,0
190,2,31,0
191,2,29,0
192,2,65,0
193,2,66,0
194,2,71,0
195,2,68,0
196,2,58,0
197,2,57,0
-1,0,0,100
-2,0,1,100
-3,0,8,0
-4,0,17,0
-5,0,18,0
-6,0,27,0
-7,1,2,100
-8,1,3,100
-9,1,44,0
-10,1,53,0
-11,1,54,0
-12,1,63,0
-13,1,0,100
-14,1,1,100
-15,1,8,0
-16,1,17,0
-17,1,18,0
-18,1,27,0
-19,2,2,100
-20,2,3,100
-21,2,44,0
-22,2,53,0
-23,2,54,0
-24,2,63,0
-25,2,0,100
-26,2,1,100
-27,2,8,0
-28,2,17,0
-29,2,18,0
-30,2,27,0
-31,0,2,100
-32,0,3,100
-33,0,44,0
-34,0,53,0
-35,0,54,0
-36,0,63,0
