#
# This is an automatically generated geo file
# Script: create_regular_geofile.py
#
# Draws all available cell shapes
#
padnumber	xposition	yposition	type	optional


1	-2.94	+5.52	11	SIZE:0.55,ROTATE:-120,X_CROP:0.5,INVERT:1
2	-2.40	+5.52	11	SIZE:0.55,ROTATE:0
3	-1.87	+5.52	11	SIZE:0.55,ROTATE:0
4	-1.33	+5.52	44	SIZE:0.55,ROTATE:0,TEXT_Y_OFFSET:-0.08,TEXT_X_OFFSET:+0.02
5	-0.80	+5.52	11	SIZE:0.55,ROTATE:0
6	-0.26	+5.52	11	SIZE:0.55,ROTATE:0
7	+0.27	+5.52	11	SIZE:0.55,ROTATE:0
8	+0.81	+5.52	11	SIZE:0.55,ROTATE:0
9	+1.35	+5.52	44	SIZE:0.55,ROTATE:0,TEXT_Y_OFFSET:-0.08,TEXT_X_OFFSET:+0.03
10	+1.88	+5.52	11	SIZE:0.55,ROTATE:0
11	+2.42	+5.52	11	SIZE:0.55,ROTATE:0
12	+2.95	+5.52	11	SIZE:0.55,ROTATE:-120,X_CROP:0.5,ROTATE:120
13	-3.20	+5.05	42	SIZE:0.55,ROTATE:60
14	-2.67	+5.05	0	SIZE:0.55,ROTATE:0
15	-2.13	+5.05	0	SIZE:0.55,ROTATE:0
16	-1.60	+5.05	0	SIZE:0.55,ROTATE:0
17	-1.06	+5.05	0	SIZE:0.55,ROTATE:0
18	-0.53	+5.05	0	SIZE:0.55,ROTATE:0
19	+0.01	+5.05	0	SIZE:0.55,ROTATE:0
20	+0.54	+5.05	0	SIZE:0.55,ROTATE:0
21	+1.08	+5.05	0	SIZE:0.55,ROTATE:0
22	+1.61	+5.05	0	SIZE:0.55,ROTATE:0
23	+2.15	+5.05	0	SIZE:0.55,ROTATE:0
24	+2.68	+5.05	0	SIZE:0.55,ROTATE:0
25	+3.22	+5.05	42	SIZE:0.55,ROTATE:60,INVERT:1
26	-3.47	+4.57	41	SIZE:0.55,ROTATE:60
27	-2.94	+4.57	0	SIZE:0.55,ROTATE:0
28	-2.40	+4.57	0	SIZE:0.55,ROTATE:0
29	-1.87	+4.57	4	SIZE:0.55,ROTATE:0
30	-1.87	+4.57	14	SIZE:0.2,ROTATE:0
31	-1.33	+4.57	0	SIZE:0.55,ROTATE:0
32	-0.80	+4.57	0	SIZE:0.55,ROTATE:0
33	-0.26	+4.57	0	SIZE:0.55,ROTATE:0
34	+0.28	+4.57	0	SIZE:0.55,ROTATE:0
35	+0.81	+4.57	0	SIZE:0.55,ROTATE:0
36	+1.35	+4.57	4	SIZE:0.55,ROTATE:0
37	+1.35	+4.57	14	SIZE:0.2,ROTATE:0
38	+1.88	+4.57	0	SIZE:0.55,ROTATE:0
39	+2.42	+4.57	0	SIZE:0.55,ROTATE:0
40	+2.95	+4.57	0	SIZE:0.55,ROTATE:0
41	+3.49	+4.57	41	SIZE:0.55,ROTATE:300
42	-3.74	+4.10	43	SIZE:0.55,ROTATE:60,TEXT_Y_OFFSET:-0.02,TEXT_X_OFFSET:+0.1
43	-3.20	+4.10	0	SIZE:0.55,ROTATE:0
44	-2.67	+4.10	0	SIZE:0.55,ROTATE:0
